ссылка;адрес;район;город;площадь;цена;дата публикации
https://n1.ru/view/25371222/;2-к, Выучейского, 98;Ломоносовский округ, Центр;Архангельск;52 м2;3 600 000 ;04.04.2018
https://n1.ru/view/26751082/;2-к, Воскресенская, 6;Ломоносовский округ, Центр;Архангельск;48 м2;4 150 000 ;11.07.2018
https://n1.ru/view/28701465/;2-к, Ломоносова проспект, 53;Ломоносовский округ, Центр;Архангельск;51 м2;4 770 000 ;13.12.2018
https://n1.ru/view/28503989/;2-к, Павла Усова, 23;Ломоносовский округ;Архангельск;49 м2;2 580 000 ;29.11.2018
https://n1.ru/view/27815879/;2-к, Тимме, 2 4к;Ломоносовский округ, Привокзальный;Архангельск;51 м2;3 550 000 ;02.10.2018
https://n1.ru/view/27918232/;2-к, Воскресенская, 116 2к;Ломоносовский округ, Привокзальный;Архангельск;52 м2;3 300 000 ;11.10.2018
https://n1.ru/view/27214024/;2-к, Тимме, 4;Ломоносовский округ, Привокзальный;Архангельск;51 м2;3 640 000 ;15.08.2018
https://n1.ru/view/27880494/;2-к, Дзержинского проспект, 19;Ломоносовский округ, Привокзальный;Архангельск;48 м2;3 000 000 ;08.10.2018
https://n1.ru/view/28371676/;2-к, Северной Двины набережная, 32;Ломоносовский округ, Центр;Архангельск;79 м2;6 100 000 ;17.11.2018
https://n1.ru/view/27746533/;2-к, Поморская, 34 к3;Ломоносовский округ, Центр;Архангельск;51 м2;3 170 000 ;26.09.2018
https://n1.ru/view/28693081/;2-к, Котласская, 3;Ломоносовский округ, Центр;Архангельск;46 м2;3 200 000 ;13.12.2018
https://n1.ru/view/28651518/;2-к, Ленинградский проспект, 1;Ломоносовский округ;Архангельск;28 м2;2 240 000 ;10.12.2018
https://n1.ru/view/27316259/;2-к, Смольный Буян, 21;Ломоносовский округ, Центр;Архангельск;45 м2;3 350 000 ;25.08.2018
https://n1.ru/view/26730104/;2-к, Поморская, 50;Ломоносовский округ, Центр;Архангельск;70 м2;5 200 000 ;09.07.2018
https://n1.ru/view/28625918/;2-к, Обводный Канал проспект, 36 1к;Ломоносовский округ, Центр;Архангельск;43 м2;3 199 000 ;07.12.2018
https://n1.ru/view/26129110/;2-к, Поморская, 34 3к;Ломоносовский округ, Центр;Архангельск;69 м2;3 980 000 ;28.05.2018
https://n1.ru/view/28594895/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;46 м2;4 100 000 ;06.12.2018
https://n1.ru/view/28594896/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;46 м2;4 070 000 ;06.12.2018
https://n1.ru/view/28594901/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;42 м2;3 790 000 ;06.12.2018
https://n1.ru/view/28594898/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;53 м2;4 650 000 ;06.12.2018
https://n1.ru/view/28594900/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;42 м2;3 850 000 ;06.12.2018
https://n1.ru/view/28594894/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;46 м2;4 280 000 ;06.12.2018
https://n1.ru/view/28594899/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;53 м2;4 490 000 ;06.12.2018
https://n1.ru/view/28594902/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;42 м2;3 790 000 ;06.12.2018
https://n1.ru/view/28594897/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;53 м2;4 650 000 ;06.12.2018
https://n1.ru/view/28142192/;2-к, Выучейского, 98;Ломоносовский округ, Центр;Архангельск;52 м2;2 990 000 ;29.10.2018
https://n1.ru/view/28692953/;2-к, Северной Двины набережная, 12 корп. 2;Ломоносовский округ, Центр;Архангельск;45 м2;3 050 000 ;13.12.2018
https://n1.ru/view/28564398/;2-к, Карла Либкнехта, 22;Ломоносовский округ, Центр;Архангельск;56 м2;4 600 000 ;04.12.2018
https://n1.ru/view/28479768/;2-к, Романа Куликова, 21;Ломоносовский округ, Центр;Архангельск;77 м2;6 100 000 ;28.11.2018
https://n1.ru/view/18305928/;2-к, Поморская, 34/3;Ломоносовский округ, Центр;Архангельск;68 м2;3 890 000 ;26.05.2017
https://n1.ru/view/27889842/;2-к, Воскресенская, 114;Ломоносовский округ, Привокзальный;Архангельск;52 м2;4 500 000 ;09.10.2018
https://n1.ru/view/28703487/;2-к, Северной Двины набережная, 71;Ломоносовский округ, Центр;Архангельск, ;48 м2;4 100 000 ;13.12.2018
https://n1.ru/view/28075800/;2-к, Северной Двины набережная, 71;Ломоносовский округ, Центр;Архангельск, ;75 м2;6 190 000 ;23.10.2018
https://n1.ru/view/27914085/;2-к, Поморская, 34 3к;Ломоносовский округ, Центр;Архангельск;52 м2;2 970 000 ;11.10.2018
https://n1.ru/view/27855982/;2-к, Северной Двины набережная, 32 к1;Ломоносовский округ, Центр;Архангельск;46 м2;4 066 000 ;05.10.2018
https://n1.ru/view/27855938/;2-к, Северной Двины набережная, 32 к1;Ломоносовский округ, Центр;Архангельск;46 м2;3 866 500 ;05.10.2018
https://n1.ru/view/26089043/;2-к, Северной Двины набережная, 32;Ломоносовский округ, Центр;Архангельск;61 м2;4 650 000 ;24.05.2018
https://n1.ru/view/25013878/;2-к, Северной Двины набережная, 32 стр.;Ломоносовский округ, Центр;Архангельск, ;61 м2;4 550 000 ;18.03.2018
